CustomerID,Email,Phone,Address
1,user1@email.com,555-1001,NY
2,user2@email.com,555-1002,NY
3,user3@email.com,555-1003,TX
4,user4@email.com,555-1004,FL
5,user5@email.com,555-1005,CA
6,user6@email.com,555-1006,FL
7,user7@email.com,555-1007,TX
8,user8@email.com,555-1008,NY
9,user9@email.com,555-1009,FL
10,user10@email.com,555-1010,FL
11,user11@email.com,555-1011,TX
12,user12@email.com,555-1012,TX
13,user13@email.com,555-1013,FL
14,user14@email.com,555-1014,NY
15,user15@email.com,555-1015,CA
16,user16@email.com,555-1016,TX
17,user17@email.com,555-1017,FL
18,user18@email.com,555-1018,NY
19,user19@email.com,555-1019,CA
20,user20@email.com,555-1020,FL
21,user21@email.com,555-1021,CA
22,user22@email.com,555-1022,NY
23,user23@email.com,555-1023,NY
24,user24@email.com,555-1024,TX
25,user25@email.com,555-1025,NY
26,user26@email.com,555-1026,TX
27,user27@email.com,555-1027,CA
28,user28@email.com,555-1028,CA
29,user29@email.com,555-1029,CA
30,user30@email.com,555-1030,TX
31,user31@email.com,555-1031,TX
32,user32@email.com,555-1032,FL
33,user33@email.com,555-1033,NY
34,user34@email.com,555-1034,NY
35,user35@email.com,555-1035,FL
36,user36@email.com,555-1036,TX
37,user37@email.com,555-1037,FL
38,user38@email.com,555-1038,CA
39,user39@email.com,555-1039,CA
40,user40@email.com,555-1040,TX
41,user41@email.com,555-1041,NY
42,user42@email.com,555-1042,FL
43,user43@email.com,555-1043,CA
44,user44@email.com,555-1044,TX
45,user45@email.com,555-1045,NY
46,user46@email.com,555-1046,CA
47,user47@email.com,555-1047,TX
48,user48@email.com,555-1048,NY
49,user49@email.com,555-1049,CA
50,user50@email.com,555-1050,NY
51,user51@email.com,555-1051,TX
52,user52@email.com,555-1052,CA
53,user53@email.com,555-1053,CA
54,user54@email.com,555-1054,TX
55,user55@email.com,555-1055,CA
56,user56@email.com,555-1056,CA
57,user57@email.com,555-1057,NY
58,user58@email.com,555-1058,FL
59,user59@email.com,555-1059,TX
60,user60@email.com,555-1060,NY
61,user61@email.com,555-1061,TX
62,user62@email.com,555-1062,NY
63,user63@email.com,555-1063,TX
64,user64@email.com,555-1064,TX
65,user65@email.com,555-1065,NY
66,user66@email.com,555-1066,CA
67,user67@email.com,555-1067,NY
68,user68@email.com,555-1068,FL
69,user69@email.com,555-1069,CA
70,user70@email.com,555-1070,FL
71,user71@email.com,555-1071,CA
72,user72@email.com,555-1072,NY
73,user73@email.com,555-1073,NY
74,user74@email.com,555-1074,CA
75,user75@email.com,555-1075,TX
76,user76@email.com,555-1076,CA
77,user77@email.com,555-1077,NY
78,user78@email.com,555-1078,TX
79,user79@email.com,555-1079,NY
80,user80@email.com,555-1080,NY
81,user81@email.com,555-1081,CA
82,user82@email.com,555-1082,TX
83,user83@email.com,555-1083,CA
84,user84@email.com,555-1084,FL
85,user85@email.com,555-1085,CA
86,user86@email.com,555-1086,CA
87,user87@email.com,555-1087,FL
88,user88@email.com,555-1088,FL
89,user89@email.com,555-1089,TX
90,user90@email.com,555-1090,TX
91,user91@email.com,555-1091,NY
92,user92@email.com,555-1092,NY
93,user93@email.com,555-1093,CA
94,user94@email.com,555-1094,CA
95,user95@email.com,555-1095,TX
96,user96@email.com,555-1096,FL
97,user97@email.com,555-1097,CA
98,user98@email.com,555-1098,TX
99,user99@email.com,555-1099,NY
100,user100@email.com,555-1100,FL
101,user101@email.com,555-1101,NY
102,user102@email.com,555-1102,CA
103,user103@email.com,555-1103,FL
104,user104@email.com,555-1104,FL
105,user105@email.com,555-1105,TX
106,user106@email.com,555-1106,NY
107,user107@email.com,555-1107,CA
108,user108@email.com,555-1108,FL
109,user109@email.com,555-1109,CA
110,user110@email.com,555-1110,TX
111,user111@email.com,555-1111,FL
112,user112@email.com,555-1112,FL
113,user113@email.com,555-1113,NY
114,user114@email.com,555-1114,NY
115,user115@email.com,555-1115,TX
116,user116@email.com,555-1116,TX
117,user117@email.com,555-1117,CA
118,user118@email.com,555-1118,TX
119,user119@email.com,555-1119,TX
120,user120@email.com,555-1120,NY
 
